Source,CH1
Second,Volt
-0.08191999793,4.60000,
-0.08191200346,2.80000,
-0.08190400153,3.60000,
-0.08189599961,5.40000,
-0.08188799769,3.40000,
-0.08188000321,4.40000,
-0.08187200129,6.00000,
-0.08186399937,5.40000,
-0.08185599744,5.80000,
-0.08184800297,5.80000,
-0.08184000105,6.00000,
-0.08183199912,6.00000,
-0.08182399720,6.00000,
-0.08181600273,6.00000,
-0.08180800080,6.00000,
-0.08179999888,6.00000,
-0.08179199696,6.00000,
-0.08178400248,6.00000,
-0.08177600056,6.00000,
-0.08176799864,6.00000,
-0.08175999671,5.80000,
-0.08175200224,5.60000,
-0.08174400032,5.40000,
-0.08173599839,5.40000,
-0.08172799647,5.40000,
-0.08172000200,5.00000,
-0.08171200007,4.80000,
-0.08170399815,4.80000,
-0.08169599622,4.80000,
-0.08168800175,4.60000,
-0.08167999983,4.60000,
-0.08167199790,4.40000,
-0.08166400343,4.60000,
-0.08165600151,4.40000,
-0.08164799958,4.40000,
-0.08163999766,4.40000,
-0.08163200319,4.40000,
-0.08162400126,4.40000,
-0.08161599934,4.40000,
-0.08160799742,4.60000,
-0.08160000294,4.80000,
-0.08159200102,4.80000,
-0.08158399910,5.00000,
-0.08157599717,5.60000,
-0.08156800270,6.00000,
-0.08156000078,4.60000,
-0.08155199885,5.80000,
-0.08154399693,6.00000,
-0.08153600246,6.40000,
-0.08152800053,5.80000,
-0.08151999861,7.60000,
-0.08151199669,7.00000,
-0.08150400221,8.40000,
-0.08149600029,7.40000,
-0.08148799837,8.40000,
-0.08147999644,8.20000,
-0.08147200197,8.40000,
-0.08146400005,9.40000,
-0.08145599812,8.20000,
-0.08144799620,7.80000,
-0.08144000173,9.40000,
-0.08143199980,10.40000,
-0.08142399788,7.80000,
-0.08141600341,10.40000,
-0.08140800148,10.00000,
-0.08139999956,10.60000,
-0.08139199764,11.20000,
-0.08138400316,10.00000,
-0.08137600124,10.20000,
-0.08136799932,10.20000,
-0.08135999739,10.20000,
-0.08135200292,10.80000,
-0.08134400100,10.60000,
-0.08133599907,10.60000,
-0.08132799715,10.80000,
-0.08132000268,10.60000,
-0.08131200075,10.60000,
-0.08130399883,10.40000,
-0.08129599690,10.20000,
-0.08128800243,10.20000,
-0.08128000051,10.00000,
-0.08127199858,9.80000,
-0.08126399666,9.60000,
-0.08125600219,9.40000,
-0.08124800026,9.00000,
-0.08123999834,9.00000,
-0.08123199642,8.60000,
-0.08122400194,8.60000,
-0.08121600002,8.20000,
-0.08120799810,8.00000,
-0.08119999617,7.80000,
-0.08119200170,7.60000,
-0.08118399978,7.40000,
-0.08117599785,7.20000,
-0.08116800338,7.00000,
-0.08116000146,7.00000,
-0.08115199953,6.80000,
-0.08114399761,6.60000,
-0.08113600314,6.60000,
-0.08112800121,6.40000,
-0.08111999929,6.40000,
-0.08111199737,6.40000,
-0.08110400289,6.40000,
-0.08109600097,6.40000,
-0.08108799905,6.20000,
-0.08107999712,6.40000,
-0.08107200265,6.40000,
-0.08106400073,6.60000,
-0.08105599880,6.60000,
-0.08104799688,6.80000,
-0.08104000241,7.00000,
-0.08103200048,6.60000,
-0.08102399856,6.20000,
-0.08101599663,7.40000,
-0.08100800216,7.80000,
-0.08100000024,6.20000,
-0.08099199831,7.60000,
-0.08098399639,8.40000,
-0.08097600192,6.20000,
-0.08096799999,7.40000,
-0.08095999807,9.00000,
-0.08095199615,9.20000,
-0.08094400167,8.40000,
-0.08093599975,8.00000,
-0.08092799783,9.60000,
-0.08092000335,9.20000,
-0.08091200143,9.20000,
-0.08090399951,8.60000,
-0.08089599758,9.60000,
-0.08088800311,8.80000,
-0.08088000119,9.20000,
-0.08087199926,9.00000,
-0.08086399734,9.00000,
-0.08085600287,9.00000,
-0.08084800094,8.80000,
-0.08083999902,8.60000,
-0.08083199710,8.40000,
-0.08082400262,8.20000,
-0.08081600070,8.20000,
-0.08080799878,7.80000,
-0.08079999685,7.60000,
-0.08079200238,7.40000,
-0.08078400046,7.00000,
-0.08077599853,6.80000,
-0.08076799661,6.40000,
-0.08076000214,6.20000,
-0.08075200021,5.80000,
-0.08074399829,5.40000,
-0.08073599637,5.40000,
-0.08072800189,4.80000,
-0.08071999997,4.60000,
-0.08071199805,4.20000,
-0.08070399612,4.00000,
-0.08069600165,3.60000,
-0.08068799973,3.60000,
-0.08067999780,3.20000,
-0.08067200333,2.80000,
-0.08066400141,2.60000,
-0.08065599948,2.40000,
-0.08064799756,2.20000,
-0.08064000309,2.00000,
-0.08063200116,1.80000,
-0.08062399924,1.80000,
-0.08061599731,1.60000,
-0.08060800284,1.40000,
-0.08060000092,1.20000,
-0.08059199899,1.20000,
-0.08058399707,1.20000,
-0.08057600260,1.20000,
-0.08056800067,1.20000,
-0.08055999875,1.20000,
-0.08055199683,1.20000,
-0.08054400235,1.20000,
-0.08053600043,1.20000,
-0.08052799851,1.40000,
-0.08051999658,1.60000,
-0.08051200211,1.60000,
-0.08050400019,1.60000,
-0.08049599826,1.80000,
-0.08048799634,1.80000,
-0.08048000187,2.00000,
-0.08047199994,2.00000,
-0.08046399802,2.20000,
-0.08045599610,2.40000,
-0.08044800162,2.40000,
-0.08043999970,2.60000,
-0.08043199778,2.60000,
-0.08042400330,2.60000,
-0.08041600138,2.60000,
-0.08040799946,2.80000,
-0.08039999753,2.80000,
-0.08039200306,2.80000,
-0.08038400114,2.80000,
-0.08037599921,2.60000,
-0.08036799729,2.60000,
-0.08036000282,2.40000,
-0.08035200089,2.40000,
-0.08034399897,2.40000,
-0.08033599705,2.00000,
-0.08032800257,2.00000,
-0.08032000065,1.80000,
-0.08031199872,1.60000,
-0.08030399680,1.40000,
-0.08029600233,1.20000,
-0.08028800040,1.00000,
-0.08027999848,0.80000,
-0.08027199656,0.60000,
-0.08026400208,0.40000,
-0.08025600016,0.00,
-0.08024799824,-0.40000,
-0.08023999631,-0.60000,
-0.08023200184,-0.80000,
-0.08022399992,-1.00000,
-0.08021599799,-1.20000,
-0.08020800352,-1.60000,
-0.08020000160,-1.80000,
-0.08019199967,-2.00000,
-0.08018399775,-2.40000,
-0.08017600328,-2.40000,
-0.08016800135,-2.80000,
-0.08015999943,-2.80000,
-0.08015199751,-3.00000,
-0.08014400303,-3.20000,
-0.08013600111,-3.20000,
-0.08012799919,-3.40000,
-0.08011999726,-3.60000,
-0.08011200279,-3.60000,
-0.08010400087,-3.60000,
-0.08009599894,-3.60000,
-0.08008799702,-3.60000,
-0.08008000255,-3.60000,
-0.08007200062,-3.60000,
-0.08006399870,-3.60000,
-0.08005599678,-3.40000,
-0.08004800230,-3.20000,
-0.08004000038,-3.20000,
-0.08003199846,-3.00000,
-0.08002399653,-2.80000,
-0.08001600206,-2.80000,
-0.08000800014,-2.60000,
-0.07999999821,-2.40000,
-0.07999199629,-2.20000,
-0.07998400182,-2.00000,
-0.07997599989,-1.80000,
-0.07996799797,-1.60000,
-0.07996000350,-1.40000,
-0.07995200157,-1.20000,
-0.07994399965,-1.00000,
-0.07993599772,-0.80000,
-0.07992800325,-0.60000,
-0.07992000133,-0.60000,
-0.07991199940,-0.40000,
-0.07990399748,-0.20000,
-0.07989600301,0.00,
-0.07988800108,0.00,
-0.07987999916,0.00,
-0.07987199724,0.00,
-0.07986400276,0.20000,
-0.07985600084,0.20000,
-0.07984799892,0.00,
-0.07983999699,0.20000,
-0.07983200252,0.20000,
-0.07982400060,0.00,
-0.07981599867,0.00,
-0.07980799675,0.00,
-0.07980000228,-0.20000,
-0.07979200035,-0.20000,
-0.07978399843,-0.40000,
-0.07977599651,-0.60000,
-0.07976800203,-0.60000,
-0.07976000011,-0.80000,
-0.07975199819,-0.80000,
-0.07974399626,-1.20000,
-0.07973600179,-1.20000,
-0.07972799987,-1.20000,
-0.07971999794,-1.60000,
-0.07971200347,-1.80000,
-0.07970400155,-2.00000,
-0.07969599962,-2.00000,
-0.07968799770,-2.20000,
-0.07968000323,-2.20000,
-0.07967200130,-2.40000,
-0.07966399938,-2.40000,
-0.07965599746,-2.60000,
-0.07964800298,-2.40000,
-0.07964000106,-2.60000,
-0.07963199914,-2.80000,
-0.07962399721,-2.60000,
-0.07961600274,-2.40000,
-0.07960800081,-2.40000,
-0.07959999889,-2.40000,
-0.07959199697,-2.40000,
-0.07958400249,-2.00000,
-0.07957600057,-2.00000,
-0.07956799865,-1.80000,
-0.07955999672,-1.60000,
-0.07955200225,-1.40000,
-0.07954400033,-1.20000,
-0.07953599840,-0.80000,
-0.07952799648,-0.60000,
-0.07952000201,-0.40000,
-0.07951200008,0.00,
-0.07950399816,0.00,
-0.07949599624,0.00,
-0.07948800176,-0.60000,
-0.07947999984,1.00000,
-0.07947199792,1.60000,
-0.07946400344,0.60000,
-0.07945600152,0.60000,
-0.07944799960,2.00000,
-0.07943999767,1.40000,
-0.07943200320,1.80000,
-0.07942400128,2.80000,
-0.07941599935,1.60000,
-0.07940799743,3.60000,
-0.07940000296,3.20000,
-0.07939200103,4.00000,
-0.07938399911,3.60000,
-0.07937599719,4.40000,
-0.07936800271,4.00000,
-0.07936000079,4.20000,
-0.07935199887,4.40000,
-0.07934399694,4.40000,
-0.07933600247,4.40000,
-0.07932800055,4.40000,
-0.07931999862,4.40000,
-0.07931199670,4.40000,
-0.07930400223,4.40000,
-0.07929600030,4.40000,
-0.07928799838,4.40000,
-0.07927999645,4.40000,
-0.07927200198,4.20000,
-0.07926400006,4.20000,
-0.07925599813,4.00000,
-0.07924799621,3.80000,
-0.07924000174,3.80000,
-0.07923199981,3.60000,
-0.07922399789,3.60000,
-0.07921600342,3.60000,
-0.07920800149,3.40000,
-0.07919999957,3.40000,
-0.07919199765,3.20000,
-0.07918400317,3.00000,
-0.07917600125,2.80000,
-0.07916799933,2.80000,
-0.07915999740,2.80000,
-0.07915200293,2.80000,
-0.07914400101,2.80000,
-0.07913599908,2.80000,
-0.07912799716,2.80000,
-0.07912000269,2.80000,
-0.07911200076,2.80000,
-0.07910399884,3.00000,
-0.07909599692,3.20000,
-0.07908800244,3.40000,
-0.07908000052,3.20000,
-0.07907199860,3.60000,
-0.07906399667,3.80000,
-0.07905600220,3.80000,
-0.07904800028,3.60000,
-0.07903999835,3.20000,
-0.07903199643,4.40000,
-0.07902400196,4.60000,
-0.07901600003,4.80000,
-0.07900799811,6.00000,
-0.07899999619,6.20000,
-0.07899200171,6.20000,
-0.07898399979,3.80000,
-0.07897599787,7.60000,
-0.07896800339,2.80000,
-0.07896000147,5.00000,
-0.07895199955,4.40000,
-0.07894399762,6.20000,
-0.07893600315,6.80000,
-0.07892800122,8.20000,
-0.07891999930,7.60000,
-0.07891199738,7.80000,
-0.07890400290,8.60000,
-0.07889600098,7.80000,
-0.07888799906,9.00000,
-0.07887999713,8.60000,
-0.07887200266,7.80000,
-0.07886400074,8.20000,
-0.07885599881,7.80000,
-0.07884799689,9.00000,
-0.07884000242,8.60000,
-0.07883200049,8.80000,
-0.07882399857,8.60000,
-0.07881599665,8.60000,
-0.07880800217,8.40000,
-0.07880000025,8.20000,
-0.07879199833,8.20000,
-0.07878399640,8.00000,
-0.07877600193,7.80000,
-0.07876800001,7.60000,
-0.07875999808,7.40000,
-0.07875199616,7.00000,
-0.07874400169,7.00000,
-0.07873599976,7.00000,
-0.07872799784,6.40000,
-0.07872000337,6.20000,
-0.07871200144,6.20000,
-0.07870399952,6.00000,
-0.07869599760,5.80000,
-0.07868800312,5.40000,
-0.07868000120,5.40000,
-0.07867199928,5.00000,
-0.07866399735,4.80000,
-0.07865600288,4.60000,
-0.07864800096,4.40000,
-0.07863999903,4.40000,
-0.07863199711,4.20000,
-0.07862400264,4.00000,
-0.07861600071,4.20000,
-0.07860799879,4.00000,
-0.07859999686,4.00000,
-0.07859200239,4.00000,
-0.07858400047,4.00000,
-0.07857599854,4.00000,
-0.07856799662,4.20000,
-0.07856000215,4.20000,
-0.07855200022,4.40000,
-0.07854399830,4.40000,
-0.07853599638,4.40000,
-0.07852800190,4.60000,
-0.07851999998,4.80000,
-0.07851199806,4.80000,
-0.07850399613,5.00000,
-0.07849600166,5.40000,
-0.07848799974,5.60000,
-0.07847999781,5.80000,
-0.07847200334,5.80000,
-0.07846400142,4.80000,
-0.07845599949,6.80000,
-0.07844799757,6.60000,
-0.07844000310,6.20000,
-0.07843200117,6.40000,
-0.07842399925,6.60000,
-0.07841599733,6.60000,
-0.07840800285,6.60000,
-0.07840000093,6.60000,
-0.07839199901,6.60000,
-0.07838399708,6.60000,
-0.07837600261,6.60000,
-0.07836800069,6.60000,
-0.07835999876,6.40000,
-0.07835199684,6.40000,
-0.07834400237,6.20000,
-0.07833600044,6.00000,
-0.07832799852,6.00000,
-0.07831999660,5.80000,
-0.07831200212,5.60000,
-0.07830400020,5.40000,
-0.07829599828,4.80000,
-0.07828799635,4.60000,
-0.07828000188,4.40000,
-0.07827199996,4.00000,
-0.07826399803,3.60000,
-0.07825599611,3.60000,
-0.07824800164,3.20000,
-0.07823999971,2.80000,
-0.07823199779,2.40000,
-0.07822400331,2.20000,
-0.07821600139,2.00000,
-0.07820799947,1.60000,
-0.07819999754,1.20000,
-0.07819200307,1.00000,
-0.07818400115,0.80000,
-0.07817599922,0.40000,
-0.07816799730,0.40000,
-0.07816000283,0.00,
-0.07815200090,-0.20000,
-0.07814399898,-0.40000,
-0.07813599706,-0.60000,
-0.07812800258,-0.80000,
-0.07812000066,-0.80000,
-0.07811199874,-1.20000,
-0.07810399681,-1.20000,
-0.07809600234,-1.40000,
-0.07808800042,-1.20000,
-0.07807999849,-1.60000,
-0.07807199657,-1.60000,
-0.07806400210,-1.60000,
-0.07805600017,-1.60000,
-0.07804799825,-1.40000,
-0.07803999633,-1.60000,
-0.07803200185,-1.40000,
-0.07802399993,-1.20000,
-0.07801599801,-1.20000,
-0.07800799608,-1.20000,
-0.07800000161,-1.20000,
-0.07799199969,-1.00000,
-0.07798399776,-1.00000,
-0.07797600329,-0.80000,
-0.07796800137,-0.60000,
-0.07795999944,-0.60000,
-0.07795199752,-0.60000,
-0.07794400305,-0.60000,
-0.07793600112,-0.40000,
-0.07792799920,-0.40000,
-0.07791999727,-0.40000,
-0.07791200280,-0.20000,
-0.07790400088,-0.20000,
-0.07789599895,-0.40000,
-0.07788799703,-0.40000,
-0.07788000256,-0.40000,
-0.07787200063,-0.40000,
-0.07786399871,-0.60000,
-0.07785599679,-0.40000,
-0.07784800231,-0.60000,
-0.07784000039,-0.80000,
-0.07783199847,-1.00000,
-0.07782399654,-1.00000,
-0.07781600207,-1.20000,
-0.07780800015,-1.60000,
-0.07779999822,-1.80000,
-0.07779199630,-2.00000,
-0.07778400183,-2.20000,
-0.07777599990,-2.40000,
-0.07776799798,-2.80000,
-0.07776000351,-2.80000,
-0.07775200158,-3.20000,
-0.07774399966,-3.40000,
-0.07773599774,-4.00000,
-0.07772800326,-4.00000,
-0.07772000134,-4.40000,
-0.07771199942,-4.60000,
-0.07770399749,-4.80000,
-0.07769600302,-5.40000,
-0.07768800110,-5.60000,
-0.07767999917,-5.80000,
-0.07767199725,-6.20000,
-0.07766400278,-6.20000,
-0.07765600085,-6.60000,
-0.07764799893,-6.60000,
-0.07763999701,-7.00000,
-0.07763200253,-7.00000,
-0.07762400061,-7.00000,
-0.07761599869,-7.20000,
-0.07760799676,-7.20000,
-0.07760000229,-7.20000,
-0.07759200037,-7.40000,
-0.07758399844,-7.20000,
-0.07757599652,-7.20000,
-0.07756800205,-7.20000,
-0.07756000012,-7.20000,
-0.07755199820,-7.00000,
-0.07754399627,-6.80000,
-0.07753600180,-6.80000,
-0.07752799988,-6.60000,
-0.07751999795,-6.40000,
-0.07751200348,-6.20000,
-0.07750400156,-6.00000,
-0.07749599963,-5.80000,
-0.07748799771,-5.60000,
-0.07748000324,-5.40000,
-0.07747200131,-5.00000,
-0.07746399939,-4.80000,
-0.07745599747,-4.60000,
-0.07744800299,-4.40000,
-0.07744000107,-4.20000,
-0.07743199915,-4.00000,
-0.07742399722,-3.80000,
-0.07741600275,-3.80000,
-0.07740800083,-3.60000,
-0.07739999890,-3.60000,
-0.07739199698,-3.40000,
-0.07738400251,-3.20000,
-0.07737600058,-3.20000,
-0.07736799866,-3.20000,
-0.07735999674,-3.20000,
-0.07735200226,-3.20000,
-0.07734400034,-3.20000,
-0.07733599842,-3.20000,
-0.07732799649,-3.20000,
-0.07732000202,-3.20000,
-0.07731200010,-3.40000,
-0.07730399817,-3.60000,
-0.07729599625,-3.60000,
-0.07728800178,-3.80000,
-0.07727999985,-3.80000,
-0.07727199793,-4.20000,
-0.07726400346,-4.40000,
-0.07725600153,-4.40000,
-0.07724799961,-4.60000,
-0.07723999768,-4.80000,
-0.07723200321,-4.80000,
-0.07722400129,-5.40000,
-0.07721599936,-5.60000,
-0.07720799744,-5.60000,
-0.07720000297,-5.60000,
-0.07719200104,-6.00000,
-0.07718399912,-6.20000,
-0.07717599720,-6.20000,
-0.07716800272,-6.20000,
-0.07716000080,-6.20000,
-0.07715199888,-6.40000,
-0.07714399695,-6.40000,
-0.07713600248,-6.40000,
-0.07712800056,-6.40000,
-0.07711999863,-6.40000,
-0.07711199671,-6.20000,
-0.07710400224,-6.20000,
-0.07709600031,-6.20000,
-0.07708799839,-6.20000,
-0.07707999647,-5.80000,
-0.07707200199,-5.60000,
-0.07706400007,-5.60000,
-0.07705599815,-5.40000,
-0.07704799622,-5.00000,
-0.07704000175,-4.60000,
-0.07703199983,-4.40000,
-0.07702399790,-4.20000,
-0.07701600343,-4.00000,
-0.07700800151,-3.60000,
-0.07699999958,-3.20000,
-0.07699199766,-3.00000,
-0.07698400319,-2.80000,
-0.07697600126,-2.40000,
-0.07696799934,-2.20000,
-0.07695999742,-2.00000,
-0.07695200294,-1.60000,
-0.07694400102,-1.40000,
-0.07693599910,-1.20000,
-0.07692799717,-0.80000,
-0.07692000270,-0.60000,
-0.07691200078,-0.40000,
-0.07690399885,-0.20000,
-0.07689599693,0.00,
-0.07688800246,0.20000,
-0.07688000053,0.40000,
-0.07687199861,0.40000,
-0.07686399668,0.60000,
-0.07685600221,0.60000,
-0.07684800029,0.80000,
-0.07683999836,0.80000,
-0.07683199644,0.80000,
-0.07682400197,0.80000,
-0.07681600004,0.80000,
-0.07680799812,0.80000,
-0.07679999620,0.80000,
-0.07679200172,0.60000,
-0.07678399980,0.60000,
-0.07677599788,0.40000,
-0.07676800340,0.40000,
-0.07676000148,0.40000,
-0.07675199956,0.20000,
-0.07674399763,0.00,
-0.07673600316,0.00,
-0.07672800124,-0.20000,
-0.07671999931,-0.40000,
-0.07671199739,-0.40000,
-0.07670400292,-0.60000,
-0.07669600099,-0.60000,
-0.07668799907,-0.60000,
-0.07667999715,-0.80000,
-0.07667200267,-0.80000,
-0.07666400075,-1.00000,
-0.07665599883,-1.00000,
-0.07664799690,-1.00000,
-0.07664000243,-1.00000,
-0.07663200051,-1.00000,
-0.07662399858,-1.00000,
-0.07661599666,-1.00000,
-0.07660800219,-0.80000,
-0.07660000026,-0.80000,
-0.07659199834,-0.80000,
-0.07658399642,-0.60000,
-0.07657600194,-0.60000,
-0.07656800002,-0.40000,
-0.07655999810,-0.20000,
-0.07655199617,0.00,
-0.07654400170,0.40000,
-0.07653599977,0.40000,
-0.07652799785,0.60000,
-0.07652000338,0.80000,
-0.07651200145,1.20000,
-0.07650399953,1.40000,
-0.07649599761,1.60000,
-0.07648800313,1.20000,
-0.07648000121,2.20000,
-0.07647199929,1.60000,
-0.07646399736,1.40000,
-0.07645600289,3.00000,
-0.07644800097,1.40000,
-0.07643999904,3.40000,
-0.07643199712,3.60000,
-0.07642400265,3.40000,
-0.07641600072,3.80000,
