Source,CH1
Second,Volt
-0.00409599999,-1.78000,
-0.00409559999,-1.78000,
-0.00409519998,-1.76000,
-0.00409479998,-1.76000,
-0.00409439998,-1.74000,
-0.00409399997,-1.76000,
-0.00409359997,-1.72000,
-0.00409319997,-1.72000,
-0.00409279997,-1.72000,
-0.00409239996,-1.72000,
-0.00409199996,-1.72000,
-0.00409159996,-1.72000,
-0.00409119995,-1.72000,
-0.00409079995,-1.72000,
-0.00409039995,-1.68000,
-0.00408999994,-1.72000,
-0.00408959994,-1.68000,
-0.00408919994,-1.70000,
-0.00408879993,-1.70000,
-0.00408839993,-1.68000,
-0.00408799993,-1.68000,
-0.00408759993,-1.68000,
-0.00408719992,-1.70000,
-0.00408679992,-1.68000,
-0.00408639992,-1.66000,
-0.00408599991,-1.68000,
-0.00408559991,-1.66000,
-0.00408519991,-1.64000,
-0.00408479990,-1.64000,
-0.00408439990,-1.66000,
-0.00408399990,-1.64000,
-0.00408359990,-1.64000,
-0.00408319989,-1.62000,
-0.00408279989,-1.64000,
-0.00408239989,-1.62000,
-0.00408199988,-1.62000,
-0.00408159988,-1.62000,
-0.00408119988,-1.60000,
-0.00408079987,-1.60000,
-0.00408039987,-1.60000,
-0.00407999987,-1.56000,
-0.00407959986,-1.58000,
-0.00407919986,-1.60000,
-0.00407879986,-1.56000,
-0.00407839986,-1.58000,
-0.00407799985,-1.56000,
-0.00407759985,-1.56000,
-0.00407719985,-1.56000,
-0.00407679984,-1.56000,
-0.00407639984,-1.54000,
-0.00407599984,-1.54000,
-0.00407559983,-1.54000,
-0.00407519983,-1.54000,
-0.00407479983,-1.50000,
-0.00407439983,-1.54000,
-0.00407399982,-1.54000,
-0.00407359982,-1.52000,
-0.00407319982,-1.50000,
-0.00407280028,-1.50000,
-0.00407240028,-1.50000,
-0.00407200027,-1.48000,
-0.00407160027,-1.50000,
-0.00407120027,-1.48000,
-0.00407080026,-1.48000,
-0.00407040026,-1.46000,
-0.00407000026,-1.46000,
-0.00406960025,-1.44000,
-0.00406920025,-1.46000,
-0.00406880025,-1.44000,
-0.00406840025,-1.44000,
-0.00406800024,-1.44000,
-0.00406760024,-1.44000,
-0.00406720024,-1.42000,
-0.00406680023,-1.40000,
-0.00406640023,-1.38000,
-0.00406600023,-1.40000,
-0.00406560022,-1.42000,
-0.00406520022,-1.38000,
-0.00406480022,-1.38000,
-0.00406440021,-1.40000,
-0.00406400021,-1.36000,
-0.00406360021,-1.38000,
-0.00406320021,-1.34000,
-0.00406280020,-1.34000,
-0.00406240020,-1.36000,
-0.00406200020,-1.34000,
-0.00406160019,-1.34000,
-0.00406120019,-1.34000,
-0.00406080019,-1.34000,
-0.00406040018,-1.34000,
-0.00406000018,-1.30000,
-0.00405960018,-1.32000,
-0.00405920018,-1.30000,
-0.00405880017,-1.30000,
-0.00405840017,-1.28000,
-0.00405800017,-1.24000,
-0.00405760016,-1.26000,
-0.00405720016,-1.28000,
-0.00405680016,-1.26000,
-0.00405640015,-1.24000,
-0.00405600015,-1.24000,
-0.00405560015,-1.24000,
-0.00405520014,-1.20000,
-0.00405480014,-1.22000,
-0.00405440014,-1.20000,
-0.00405400014,-1.20000,
-0.00405360013,-1.20000,
-0.00405320013,-1.20000,
-0.00405280013,-1.18000,
-0.00405240012,-1.18000,
-0.00405200012,-1.18000,
-0.00405160012,-1.16000,
-0.00405120011,-1.16000,
-0.00405080011,-1.14000,
-0.00405040011,-1.14000,
-0.00405000011,-1.14000,
-0.00404960010,-1.14000,
-0.00404920010,-1.12000,
-0.00404880010,-1.12000,
-0.00404840009,-1.10000,
